species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_PROM0_PROMS_0, 18.01, 0, 0.3, 0.07, 18, 0, 18.01, 17.93
Node_PROM1_PROM9_0, 18, 0, 0, 0.23, 18, 0, 18, 18
Node_PROM1_PROMT_0, 18, 0, 0.01, 0.02, 18, 0, 18, 17.99
Node_PROM2_PROM0_0, 18.22, 0, 0, 0.1, 18, 0, 18.22, 17.28
Node_PROM5_PROMP_0, 18, 0, 0.02, 1.31, 18, 0, 18, 17.99
Node_PROM9_PROM2_0, 17.28, 0, 0.99, 0.96, 17.06, 0, 17.28, 17.05
Node_PROM9_PROM5_0, 18.01, 0, 0, 0.36, 18, 0, 18.01, 18
Node_PROMM_PRMAR1_0, 17.99, 0, 0.09, 0, 17.99, 0, 17.99, 17.91
Node_PROMM_PROM3_0, 18, 0, 0, 0, 18, 0, 18, 17.99
Node_PROMM_SYNPW_0, 18, 0, 0, 0.02, 18, 0, 18, 18
Node_SYNE7_SYNP6_0, 18, 0, 0.57, 1.45, 18, 0.03, 18, 16.98
Node_SYNJA_GLVIO1_0, 18, 0, 0.04, 0.83, 18, 0, 18, 16.88
Node_SYNJA_SYNJB_0, 18, 0, 0, 0.64, 18, 0, 18, 18
Node_SYNPW_SYNPX_0, 18, 0, 0.06, 0.06, 18, 0, 18, 17.94
Node_SYNPW_SYNS3_0, 18, 0, 0, 0.67, 18, 0, 18, 18
Node_SYNPX_SYNS9_0, 18, 0, 0.02, 0.28, 18, 0, 18, 17.98
Node_SYNR3_PROMM_0, 18, 0, 0.06, 0.88, 18, 0.96, 18, 17.89
Node_SYNR3_SYNE7_0, 16.99, 0, 0.07, 0.08, 16.98, 0.02, 16.99, 16.86
Node_SYNR3_SYNJA_0, 16.91, 0, 0, 0.2, 16.89, 0.37, 16.91, 16.2
Node_SYNS9_SYNSC_0, 18, 0, 0, 0, 18, 0, 18, 18
Node_THEEB_ACAM1_0, 17.96, 0, 0, 0.73, 17.96, 0.13, 17.96, 17.76
Node_THEEB_CYAP4_0, 18.03, 0, 0, 1, 18, 0.02, 18.03, 18.01
PRMAR1, 18, 0, 0, 0, 18, 0, 18, 18
PROM0, 18, 0, 0.22, 0.28, 18, 0, 18, 18
PROM1, 18, 0, 0, 0, 18, 0, 18, 18
PROM2, 18, 0, 1.98, 0.06, 18, 0, 18, 18
PROM3, 18, 0, 0, 0, 18, 0, 18, 18
PROM4, 18, 0, 0.01, 0, 18, 0, 18, 18
PROM5, 18, 0, 0.01, 0, 18, 0, 18, 18
PROM9, 18, 0, 0.36, 0.13, 18, 0, 18, 18
PROMM, 18, 0, 0, 0, 18, 0, 18, 18
PROMP, 18, 0, 0.02, 0.97, 18, 0, 18, 18
PROMS, 18, 0, 0.9, 0.79, 18, 0, 18, 18
PROMT, 18, 0, 0, 0, 18, 0, 18, 18
SYNE7, 18, 0, 0, 0.01, 18, 0, 18, 18
SYNJA, 18, 0, 0, 0, 18, 0, 18, 18
SYNJB, 18, 0, 0, 0, 18, 0, 18, 18
SYNP2, 18, 0, 0.06, 1.01, 18, 0, 18, 18
SYNP6, 18, 0, 0, 0, 18, 0, 18, 18
SYNPW, 18, 0, 0, 0.1, 18, 0, 18, 18
SYNPX, 18, 0, 0.33, 0.3, 18, 0, 18, 18
SYNR3, 18, 0, 0.72, 0.08, 18, 0, 18, 18
SYNS3, 18, 0, 0, 0.13, 18, 0, 18, 18
SYNS9, 18, 0, 0.5, 0.01, 18, 0, 18, 18
SYNSC, 18, 0, 0.29, 0.32, 18, 0, 18, 18
SYNY3, 18, 0, 0.24, 1.05, 18, 0.02, 18, 18
THEEB, 18, 0, 1.59, 0.91, 18, 0, 18, 18
TRIEI, 18, 0, 0.54, 0.34, 18, 0.01, 18, 18
