species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_PROM1_PROMT_0, 18, 0, 0.01, 0.86, 18, 0, 18, 18
Node_PROM2_PROM0_0, 18.14, 0, 0.01, 0, 17.99, 0, 18.14, 17.93
Node_PROM5_PROMP_0, 18, 0, 0.04, 1.64, 18, 0, 18, 17.96
Node_PROM9_PROM2_0, 17.91, 0, 0.22, 0.94, 17.79, 0, 17.91, 17.79
Node_PROM9_PROM5_0, 18, 0, 1, 0.05, 17.99, 0, 18, 17.02
Node_PROMM_PRMAR1_0, 17.92, 0, 0.42, 0.25, 17.92, 0, 17.92, 17.58
Node_PROMM_PROM3_0, 18, 0, 0.27, 0.52, 18, 0, 18, 17.65
Node_PROMM_SYNPW_0, 18, 0, 0, 0.38, 18, 0, 18, 18
Node_SYNE7_SYNP6_0, 18, 0, 0.23, 1.88, 18, 0.01, 18, 16.71
Node_SYNJA_GLVIO1_0, 18, 0, 0.29, 1.54, 18, 0.01, 18, 15.46
Node_SYNJA_SYNJB_0, 18, 0, 0, 0.63, 18, 0, 18, 18
Node_SYNPW_SYNPX_0, 18.02, 0, 0.03, 0.05, 18, 0, 18.02, 17.99
Node_SYNPW_SYNS3_0, 18, 0, 0.92, 0.63, 18, 0, 18, 17.1
Node_SYNPX_SYNS9_0, 17.91, 0, 0.49, 0.66, 17.91, 0, 17.91, 17.53
Node_SYNR3_PROMM_0, 18, 0, 0, 1.78, 18, 1.99, 18, 17.91
Node_SYNR3_SYNE7_0, 15.92, 0, 0.07, 0.23, 15.92, 0.02, 15.92, 15.67
Node_SYNR3_SYNJA_0, 15.72, 0, 0, 0.35, 15.72, 0.68, 15.72, 14.48
Node_SYNS9_SYNSC_0, 18.06, 0, 0, 0, 18, 0, 18.06, 17.97
Node_THEEB_ACAM1_0, 17.96, 0, 0.01, 0.25, 17.95, 0.09, 17.96, 17.53
Node_THEEB_CYAP4_0, 18.08, 0, 0, 0.99, 18, 0, 18.08, 18.03
PRMAR1, 18, 0, 0.01, 0.95, 18, 0, 18, 18
PROM0, 18, 0, 0.04, 0.02, 18, 0, 18, 18
PROM1, 18, 0, 0, 0, 18, 0, 18, 18
PROM2, 18, 0, 1.96, 0.03, 18, 0, 18, 18
PROM3, 18, 0, 0, 0, 18, 0, 18, 18
PROM4, 18, 0, 0.04, 0.16, 18, 0, 18, 18
PROM5, 18, 0, 0, 0, 18, 0, 18, 18
PROM9, 18, 0, 0.95, 0.09, 18, 0, 18, 18
PROMM, 18, 0, 0, 0, 18, 0, 18, 18
PROMP, 18, 0, 0, 0.35, 18, 0, 18, 18
PROMS, 18, 0, 0.97, 0.97, 18, 0, 18, 18
PROMT, 18, 0, 0, 0, 18, 0, 18, 18
SYNE7, 18, 0, 0, 0.01, 18, 0, 18, 18
SYNJA, 18, 0, 0, 0, 18, 0, 18, 18
SYNJB, 18, 0, 0, 0, 18, 0, 18, 18
SYNP2, 18, 0, 0.52, 0.74, 18, 0, 18, 18
SYNP6, 18, 0, 0, 0, 18, 0, 18, 18
SYNPW, 18, 0, 0.01, 0, 18, 0, 18, 18
SYNPX, 18, 0, 0.66, 0.69, 18, 0, 18, 18
SYNR3, 18, 0, 0.09, 0.06, 18, 0, 18, 18
SYNS3, 18, 0, 0.01, 0.33, 18, 0, 18, 18
SYNS9, 18, 0, 0.65, 0.01, 18, 0, 18, 18
SYNSC, 18, 0, 0.73, 0.74, 18, 0, 18, 18
SYNY3, 18, 0, 2.22, 0.45, 18, 0, 18, 18
THEEB, 18, 0, 2.61, 1.15, 18, 0.11, 18, 18
TRIEI, 18, 0, 0.58, 1.36, 18, 0.02, 18, 18
